UTC, LST, airmass, obs_frac
2022-10-05 07:40:00.000, 2022-10-05 01:40:00.000, 1.4744384321220767, 0.36363636363636365
2022-10-05 07:50:00.000, 2022-10-05 01:50:00.000, 1.459143123647783, 1.0
2022-10-05 08:00:00.000, 2022-10-05 02:00:00.000, 1.4471093603513652, 1.0
2022-10-05 08:10:00.000, 2022-10-05 02:10:00.000, 1.4382062805127995, 1.0
2022-10-05 08:20:00.000, 2022-10-05 02:20:00.000, 1.4323387629921673, 1.0
2022-10-05 08:30:00.000, 2022-10-05 02:30:00.000, 1.4294449022768276, 1.0
2022-10-05 08:40:00.000, 2022-10-05 02:40:00.000, 1.4294943949569971, 1.0
2022-10-05 08:50:00.000, 2022-10-05 02:50:00.000, 1.4324877584951774, 1.0
2022-10-05 09:00:00.000, 2022-10-05 03:00:00.000, 1.4384563445216159, 1.0
2022-10-05 09:10:00.000, 2022-10-05 03:10:00.000, 1.4474631472956236, 1.0
2022-10-05 09:20:00.000, 2022-10-05 03:20:00.000, 1.45960444642992, 1.0
2022-10-05 09:30:00.000, 2022-10-05 03:30:00.000, 1.4750123644973514, 1.0
2022-10-05 09:40:00.000, 2022-10-05 03:40:00.000, 1.4938584680963944, 1.0
2022-10-05 09:50:00.000, 2022-10-05 03:50:00.000, 1.516358599479625, 1.0
2022-10-05 10:00:00.000, 2022-10-05 04:00:00.000, 1.5427792003805298, 1.0
2022-10-05 10:10:00.000, 2022-10-05 04:10:00.000, 1.5734454877034834, 1.0
2022-10-05 10:20:00.000, 2022-10-05 04:20:00.000, 1.608751972954646, 1.0
2022-10-05 10:30:00.000, 2022-10-05 04:30:00.000, 1.6491759993247348, 1.0
2022-10-05 10:40:00.000, 2022-10-05 04:40:00.000, 1.6952952255428688, 1.0
2022-10-05 10:50:00.000, 2022-10-05 04:50:00.000, 1.7478103495819817, 1.0
