UTC, LST, airmass, obs_frac
2022-12-12 01:10:00.000, 2022-12-11 18:10:00.000, 2.0644684116715037, 0.36363636363636365
2022-12-12 01:20:00.000, 2022-12-11 18:20:00.000, 1.9727720230988703, 1.0
2022-12-12 01:30:00.000, 2022-12-11 18:30:00.000, 1.8926961903502189, 1.0
2022-12-12 01:40:00.000, 2022-12-11 18:40:00.000, 1.8225467966553888, 1.0
2022-12-12 01:50:00.000, 2022-12-11 18:50:00.000, 1.7609668803570921, 1.0
2022-12-12 02:00:00.000, 2022-12-11 19:00:00.000, 1.7068592977417825, 1.0
2022-12-12 02:10:00.000, 2022-12-11 19:10:00.000, 1.6593300304131418, 1.0
2022-12-12 02:20:00.000, 2022-12-11 19:20:00.000, 1.6176460243191768, 1.0
2022-12-12 02:30:00.000, 2022-12-11 19:30:00.000, 1.5812034392492458, 1.0
2022-12-12 02:40:00.000, 2022-12-11 19:40:00.000, 1.549503479208141, 0.09090909090909091
